id,poid,time,organ,max,min,avg,IndustryValue,EnvEmerg,NetIndustryValue,PollutantEmission,WasteGas,RealEstateDev,WasteDisposalVol,NumWasteFactories,MajorEnergyConsumption,IndustryValue_Overall,IndustrialEnterprise
3,PFNA,2010,leaf,,,0.31,7469,0,10172.55,722978,105.05,6527,1938.6,41,15983.62,21387.7,
13,PFNA,2010,leaf,,,0.13,7469,0,10172.55,722978,105.05,6527,1938.6,41,15983.62,21387.7,
28,PFNA,2010,leaf,,,0.11,7469,0,10172.55,722978,105.05,6527,1938.6,41,15983.62,21387.7,
36,PFNA,2010,leaf,,,0.06,7469,0,10172.55,722978,105.05,6527,1938.6,41,15983.62,21387.7,
116,PFNA,2014,stems、leaf,200,10,,748,11,3579.11,150713.57,7.89,2811,733.8,25,1736.54,3522.8,57761
117,PFNA,2014,root,190,20,,748,11,3579.11,150713.57,7.89,2811,733.8,25,1736.54,3522.8,57761
138,PFNA,2014,stems、leaf,90,60,,748,11,3579.11,150713.57,7.89,2811,733.8,25,1736.54,3522.8,57761
139,PFNA,2014,root,50,40,,748,11,3579.11,150713.57,7.89,2811,733.8,25,1736.54,3522.8,57761
160,PFNA,2014,stems、leaf,100,10,,748,11,3579.11,150713.57,7.89,2811,733.8,25,1736.54,3522.8,57761
161,PFNA,2014,root,110,40,,748,11,3579.11,150713.57,7.89,2811,733.8,25,1736.54,3522.8,57761
176,PFNA,2014,whole,440,70,,748,11,3579.11,150713.57,7.89,2811,733.8,25,1736.54,3522.8,57761
187,PFNA,2014,whole,430,90,,748,11,3579.11,150713.57,7.89,2811,733.8,25,1736.54,3522.8,57761
198,PFNA,2014,whole,380,90,,748,11,3579.11,150713.57,7.89,2811,733.8,25,1736.54,3522.8,57761
2196,PFNA,2010,whole,3.27,0.48,1.4,5373,0,10261.18,555500,105.05,6070,1017.1,44,23100.48,19382.2,
2197,PFNA,2010,muscle,1.95,0.87,1.35,5373,0,10261.18,555500,105.05,6070,1017.1,44,23100.48,19382.2,
2198,PFNA,2010,muscle,1.03,0.08,0.45,5373,0,10261.18,555500,105.05,6070,1017.1,44,23100.48,19382.2,
2199,PFNA,2010,whole,1.07,0.68,0.89,5373,0,10261.18,555500,105.05,6070,1017.1,44,23100.48,19382.2,
2200,PFNA,2010,whole,1.72,0.92,0.42,5373,0,10261.18,555500,105.05,6070,1017.1,44,23100.48,19382.2,
2201,PFNA,2010,whole,4.21,0.97,2.34,5373,0,10261.18,555500,105.05,6070,1017.1,44,23100.48,19382.2,
2202,PFNA,2010,muscle,4.58,1.31,2.27,5373,0,10261.18,555500,105.05,6070,1017.1,44,23100.48,19382.2,
2203,PFNA,2010,whole,6.53,2.01,2.55,5373,0,10261.18,555500,105.05,6070,1017.1,44,23100.48,19382.2,
2204,PFNA,2010,muscle,1.72,0,0.86,5373,0,10261.18,555500,105.05,6070,1017.1,44,23100.48,19382.2,
2205,PFNA,2010,muscle,4.38,1.48,2.7,5373,0,10261.18,555500,105.05,6070,1017.1,44,23100.48,19382.2,
2206,PFNA,2010,muscle,3.98,2.03,2.86,5373,0,10261.18,555500,105.05,6070,1017.1,44,23100.48,19382.2,
2501,PFNA,2012,muscle,,,0.466,7128,77,13577.65,598210.95,99.2,6357,1210.1,47,27762,23942.2,342262
2502,PFNA,2012,gill,,,0.728,7128,77,13577.65,598210.95,99.2,6357,1210.1,47,27762,23942.2,342262
2503,PFNA,2012,kidney,,,1.26,7128,77,13577.65,598210.95,99.2,6357,1210.1,47,27762,23942.2,342262
2504,PFNA,2012,liver,,,2.88,7128,77,13577.65,598210.95,99.2,6357,1210.1,47,27762,23942.2,342262
2505,PFNA,2012,egg,,,2.05,7128,77,13577.65,598210.95,99.2,6357,1210.1,47,27762,23942.2,342262
2506,PFNA,2012,muscle,,,0.522,7128,77,13577.65,598210.95,99.2,6357,1210.1,47,27762,23942.2,342262
2507,PFNA,2012,gill,,,4.37,7128,77,13577.65,598210.95,99.2,6357,1210.1,47,27762,23942.2,342262
2508,PFNA,2012,egg,,,5.79,7128,77,13577.65,598210.95,99.2,6357,1210.1,47,27762,23942.2,342262
2509,PFNA,2012,muscle,,,11,7128,77,13577.65,598210.95,99.2,6357,1210.1,47,27762,23942.2,342262
2510,PFNA,2012,gill,,,1.67,7128,77,13577.65,598210.95,99.2,6357,1210.1,47,27762,23942.2,342262
2511,PFNA,2012,liver,,,3.68,7128,77,13577.65,598210.95,99.2,6357,1210.1,47,27762,23942.2,342262
2512,PFNA,2012,egg,,,3.48,7128,77,13577.65,598210.95,99.2,6357,1210.1,47,27762,23942.2,342262
2513,PFNA,2012,muscle,,,5.67,7128,77,13577.65,598210.95,99.2,6357,1210.1,47,27762,23942.2,342262
2514,PFNA,2012,gill,,,0.348,7128,77,13577.65,598210.95,99.2,6357,1210.1,47,27762,23942.2,342262
2515,PFNA,2012,kidney,,,1.33,7128,77,13577.65,598210.95,99.2,6357,1210.1,47,27762,23942.2,342262
2516,PFNA,2012,liver,,,2.45,7128,77,13577.65,598210.95,99.2,6357,1210.1,47,27762,23942.2,342262
2517,PFNA,2012,muscle,,,7.33,7128,77,13577.65,598210.95,99.2,6357,1210.1,47,27762,23942.2,342262
2518,PFNA,2012,gill,,,8.81,7128,77,13577.65,598210.95,99.2,6357,1210.1,47,27762,23942.2,342262
2519,PFNA,2012,egg,,,7.57,7128,77,13577.65,598210.95,99.2,6357,1210.1,47,27762,23942.2,342262
2520,PFNA,2012,muscle,,,6.35,7128,77,13577.65,598210.95,99.2,6357,1210.1,47,27762,23942.2,342262
